Netid State  Recv-Q Send-Q                      Local Address:Port  Peer Address:PortProcess                                                                                                                                   
udp   UNCONN 0      0                                 0.0.0.0:4789       0.0.0.0:*                                                                                                                                             
udp   UNCONN 0      0                                 0.0.0.0:5353       0.0.0.0:*    users:(("avahi-daemon",pid=5553,fd=12))                                                                                                  
udp   UNCONN 0      0                              127.0.0.54:53         0.0.0.0:*    users:(("systemd-resolve",pid=614,fd=18))                                                                                                
udp   UNCONN 0      0                           127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=614,fd=16))                                                                                                
udp   UNCONN 0      0                               127.0.0.1:323        0.0.0.0:*    users:(("chronyd",pid=5622,fd=4))                                                                                                        
udp   UNCONN 0      0                                    [::]:5353          [::]:*    users:(("avahi-daemon",pid=5553,fd=13))                                                                                                  
udp   UNCONN 0      0                                   [::1]:323           [::]:*    users:(("chronyd",pid=5622,fd=5))                                                                                                        
udp   UNCONN 74880  0      [fe80::e9d8:e93c:7b91:3835]%enp4s0:546           [::]:*    users:(("systemd-network",pid=1008,fd=33))                                                                                               
udp   UNCONN 0      0      [fe80::e9d8:e93c:7b91:3835]%enp4s0:546           [::]:*    users:(("NetworkManager",pid=5748,fd=24))                                                                                                
tcp   LISTEN 0      4096                            127.0.0.1:8088       0.0.0.0:*    users:(("ferretdb",pid=1547326,fd=7))                                                                                                    
tcp   LISTEN 0      5                               127.0.0.1:8080       0.0.0.0:*    users:(("python3",pid=5815,fd=8))                                                                                                        
tcp   LISTEN 0      4096                              0.0.0.0:22         0.0.0.0:*    users:(("sshd",pid=57769,fd=3),("systemd",pid=1,fd=333))                                                                                 
tcp   LISTEN 0      4096                            127.0.0.1:45347      0.0.0.0:*    users:(("containerd",pid=5801,fd=13))                                                                                                    
tcp   LISTEN 0      511                               0.0.0.0:3000       0.0.0.0:*    users:(("node",pid=10351,fd=38))                                                                                                         
tcp   LISTEN 0      4096                            127.0.0.1:19001      0.0.0.0:*    users:(("k8s-dqlite",pid=5804,fd=17))                                                                                                    
tcp   LISTEN 0      4096                           127.0.0.54:53         0.0.0.0:*    users:(("systemd-resolve",pid=614,fd=19))                                                                                                
tcp   LISTEN 0      4096                            127.0.0.1:10248      0.0.0.0:*    users:(("kubelite",pid=9709,fd=113))                                                                                                     
tcp   LISTEN 0      4096                            127.0.0.1:10249      0.0.0.0:*    users:(("kubelite",pid=9709,fd=99))                                                                                                      
tcp   LISTEN 0      4096                            127.0.0.1:10256      0.0.0.0:*    users:(("kubelite",pid=9709,fd=97))                                                                                                      
tcp   LISTEN 0      4096                            127.0.0.1:27017      0.0.0.0:*    users:(("mongod",pid=9148,fd=10))                                                                                                        
tcp   LISTEN 0      4096                            127.0.0.1:27019      0.0.0.0:*    users:(("ferretdb",pid=1547326,fd=12))                                                                                                   
tcp   LISTEN 0      4096                            127.0.0.1:9099       0.0.0.0:*    users:(("calico-node",pid=13670,fd=7))                                                                                                   
tcp   LISTEN 0      4096                            127.0.0.1:9883       0.0.0.0:*    users:(("mosquitto",pid=6427,fd=7))                                                                                                      
tcp   LISTEN 0      4096                        127.0.0.53%lo:53         0.0.0.0:*    users:(("systemd-resolve",pid=614,fd=17))                                                                                                
tcp   LISTEN 0      100                             127.0.0.1:1883       0.0.0.0:*    users:(("mosquitto",pid=6427,fd=5))                                                                                                      
tcp   LISTEN 0      4096                            127.0.0.1:1338       0.0.0.0:*    users:(("containerd",pid=5801,fd=10))                                                                                                    
tcp   LISTEN 0      4096                                    *:9090             *:*    users:(("prometheus",pid=6445,fd=8))                                                                                                     
tcp   LISTEN 0      4096                                    *:25000            *:*    users:(("cluster-agent",pid=6496,fd=3))                                                                                                  
tcp   LISTEN 0      511                                     *:80               *:*    users:(("httpd",pid=2034403,fd=4),("httpd",pid=589232,fd=4),("httpd",pid=589231,fd=4),("httpd",pid=589139,fd=4),("httpd",pid=12109,fd=4))
tcp   LISTEN 0      4096                                 [::]:22            [::]:*    users:(("sshd",pid=57769,fd=4),("systemd",pid=1,fd=336))                                                                                 
tcp   LISTEN 0      4096                                    *:16443            *:*    users:(("kubelite",pid=9709,fd=4))                                                                                                       
tcp   LISTEN 0      2                                       *:3389             *:*    users:(("xrdp",pid=14562,fd=13))                                                                                                         
tcp   LISTEN 0      4096                                    *:10257            *:*    users:(("kubelite",pid=9709,fd=86))                                                                                                      
tcp   LISTEN 0      4096                                    *:10259            *:*    users:(("kubelite",pid=9709,fd=85))                                                                                                      
tcp   LISTEN 0      4096                                    *:10250            *:*    users:(("kubelite",pid=9709,fd=94))                                                                                                      
tcp   LISTEN 0      511                                     *:39963            *:*    users:(("node",pid=10351,fd=40))                                                                                                         
tcp   LISTEN 0      100                                 [::1]:1883          [::]:*    users:(("mosquitto",pid=6427,fd=6))                                                                                                      
