Name                 Version            Rev    Tracking       Publisher             Notes
aws-cli              2.35.21            2312   v2/stable      aws**                 classic
canonical-livepatch  v11.0.2            414    latest/stable  canonical**           -
core18               20260204           2999   latest/stable  canonical**           base
core20               20260410           2866   latest/stable  canonical**           base
core22               20260410           2437   latest/stable  canonical**           base
core24               20260410           1643   latest/stable  canonical**           base
doctl                v1.168.0           2533   latest/stable  digitalocean**        -
etcd                 3.4.36             249    latest/stable  canonical**           -
keepalived           2.4.2              3198   latest/stable  keepalived-project**  classic
lxd                  5.21.7-1018661     40585  5.21/stable    canonical**           -
microk8s             v1.35.6            9072   1.35/stable    canonical**           classic
mosquitto            2.1.2              1134   latest/stable  mosquitto**           -
nextcloud            34.0.3snap1        53996  latest/stable  nextcloud**           -
powershell           7.6.5              405    latest/stable  canonical**           classic
prometheus           2.37.0             86     2/stable       canonical**           -
rocketchat-server    8.5.1              1788   8.x/stable     rocketchat**          -
sabnzbd              5.1.2              6469   latest/stable  safihre               -
slcli                6.2.6              2957   latest/stable  softlayer             -
snapd                2.76.2             27710  latest/stable  canonical**           snapd
wekan                11.51              3946   latest/stable  xet7                  -
wormhole             0.16.0+2.g1bd72f3  509    latest/stable  snapcrafters*         -
