Service                                   Startup   Current   Notes
canonical-livepatch.canonical-livepatchd  enabled   active    -
etcd.etcd                                 enabled   inactive  -
keepalived.daemon                         enabled   active    -
lxd.activate                              enabled   inactive  -
lxd.daemon                                enabled   inactive  socket-activated
lxd.user-daemon                           enabled   inactive  socket-activated
microk8s.daemon-apiserver-kicker          enabled   active    -
microk8s.daemon-apiserver-proxy           enabled   inactive  -
microk8s.daemon-cluster-agent             enabled   active    -
microk8s.daemon-containerd                enabled   active    -
microk8s.daemon-etcd                      enabled   inactive  -
microk8s.daemon-flanneld                  enabled   inactive  -
microk8s.daemon-k8s-dqlite                enabled   active    -
microk8s.daemon-kubelite                  enabled   active    -
mosquitto.mosquitto                       enabled   active    -
nextcloud.apache                          enabled   active    -
nextcloud.logrotate                       enabled   inactive  timer-activated
nextcloud.mysql                           enabled   active    -
nextcloud.nextcloud-cron                  enabled   active    -
nextcloud.nextcloud-fixer                 enabled   active    -
nextcloud.php-fpm                         enabled   active    -
nextcloud.redis-server                    enabled   active    -
nextcloud.renew-certs                     enabled   active    -
prometheus.prometheus                     enabled   active    -
rocketchat-server.rocketchat-caddy        disabled  inactive  -
rocketchat-server.rocketchat-mongo        enabled   active    -
rocketchat-server.rocketchat-server       enabled   active    -
sabnzbd.sabnzbd                           enabled   active    -
wekan.caddy                               disabled  inactive  -
wekan.ferretdb                            enabled   active    -
wekan.mongodb                             disabled  inactive  -
wekan.wekan                               enabled   active    -
